"","complaintNum","complaintDate","complaintTime","unknownDate","unknownTime","reportedDate","offenseCode","offenseDescription","internalOffenseCode","internalOffenseDescrption","completion","offenseLevel","jurisdiction","borough","precinct","premise","premiseDescrption","parkName","housingDevelopment","x","y","lat","long","NA"
"24",467518301,"12/05/2015",16:36:00,NA,NA,"12/05/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",67,"INSIDE",NA,NA,NA,1008224,177079,40.652693383,-73.91360164,"(40.652693383, -73.91360164)"
"25",201803138,"12/03/2015",17:05:00,NA,NA,"12/03/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",67,"OUTSIDE",NA,NA,NA,1005410,178782,40.657374916,-73.923737654,"(40.657374916, -73.923737654)"
"26",703629612,"12/03/2015",11:05:00,NA,NA,"12/03/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",47,"OUTSIDE",NA,NA,NA,1020690,256478,40.87058038,-73.868245145,"(40.87058038, -73.868245145)"
"27",351386950,"12/01/2015",03:55:00,NA,NA,"12/01/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",49,"INSIDE",NA,NA,NA,1024346,246876,40.844209947,-73.855083584,"(40.844209947, -73.855083584)"
"28",216560883,"11/28/2015",00:07:00,NA,NA,"11/28/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","STATEN ISLAND",120,"OUTSIDE",NA,NA,NA,960126,172813,40.640983725,-74.086926573,"(40.640983725, -74.086926573)"
"29",558517496,"11/27/2015",22:39:00,NA,NA,"11/27/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. HOUSING POLICE","BROOKLYN",73,"INSIDE",NA,NA,NA,1009968,182503,40.667576169,-73.907295763,"(40.667576169, -73.907295763)"
"30",474478842,"11/27/2015",22:39:00,NA,NA,"11/27/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. HOUSING POLICE","BROOKLYN",73,"INSIDE",NA,NA,NA,1009968,182503,40.667576169,-73.907295763,"(40.667576169, -73.907295763)"
"31",148432759,"11/26/2015",23:36:00,NA,NA,"11/26/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. HOUSING POLICE","BROOKLYN",73,"OUTSIDE",NA,NA,NA,1010877,182683,40.668067542,-73.904018382,"(40.668067542, -73.904018382)"
"32",113246882,"11/09/2015",11:42:00,NA,NA,"11/09/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. HOUSING POLICE","BROOKLYN",73,"INSIDE",NA,NA,"WOODSON",1011275,181310,40.664297758,-73.902589205,"(40.664297758, -73.902589205)"
"33",495097288,"11/25/2015",13:55:00,NA,NA,"11/25/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",42,"OUTSIDE",NA,NA,NA,1010158,242490,40.832224679,-73.906379774,"(40.832224679, -73.906379774)"
"34",958262948,"11/24/2015",11:21:00,NA,NA,"11/24/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",70,"OUTSIDE",NA,NA,NA,994394,176588,40.651372334,-73.96344425,"(40.651372334, -73.96344425)"
"35",995825488,"11/24/2015",09:16:00,NA,NA,"11/24/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. HOUSING POLICE","BRONX",48,"OUTSIDE",NA,NA,NA,1013667,246291,40.842646326,-73.893682921,"(40.842646326, -73.893682921)"
"36",616455097,"11/21/2015",03:56:00,NA,NA,"11/21/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",108,"OUTSIDE",NA,NA,NA,1007668,209836,40.742605175,-73.915491518,"(40.742605175, -73.915491518)"
"37",131875596,"11/20/2015",17:40:00,NA,NA,"11/20/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",67,"INSIDE",NA,NA,NA,999132,175384,40.648060922,-73.946371991,"(40.648060922, -73.946371991)"
"38",810852918,"11/20/2015",14:21:00,NA,NA,"11/20/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",47,"INSIDE",NA,NA,NA,1027870,267694,40.901332179,-73.842211382,"(40.901332179, -73.842211382)"
"39",747058831,"11/18/2015",23:15:00,NA,NA,"11/18/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",52,"OUTSIDE",NA,NA,NA,1012027,254322,40.864694331,-73.899576908,"(40.864694331, -73.899576908)"
"40",997939561,"11/18/2015",03:20:00,NA,NA,"11/18/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",84,"OUTSIDE",NA,NA,NA,988972,188404,40.683809179,-73.98297591,"(40.683809179, -73.98297591)"
"41",537116994,"10/31/2015",06:02:00,NA,NA,"10/31/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. HOUSING POLICE","BROOKLYN",69,"OUTSIDE",NA,NA,NA,1013376,176522,40.651149094,-73.895036788,"(40.651149094, -73.895036788)"
"42",939515003,"11/15/2015",21:51:00,NA,NA,"11/15/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",34,"INSIDE",NA,NA,NA,1006124,255241,40.867233307,-73.920915513,"(40.867233307, -73.920915513)"
"43",635929691,"11/15/2015",04:30:00,NA,NA,"11/15/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",104,"OUTSIDE",NA,NA,NA,1012340,197732,40.709369048,-73.898681928,"(40.709369048, -73.898681928)"
"44",551311453,"11/11/2015",21:44:00,NA,NA,"11/11/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. HOUSING POLICE","BROOKLYN",90,"INSIDE",NA,NA,"TAYLOR STREET-WYTHE AVENUE",994068,195940,40.704489571,-73.964590908,"(40.704489571, -73.964590908)"
"45",794888804,"11/10/2015",12:56:00,NA,NA,"11/10/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",70,"INSIDE",NA,NA,NA,994882,174149,40.644677234,-73.961689428,"(40.644677234, -73.961689428)"
"46",656656874,"11/10/2015",09:20:00,NA,NA,"11/10/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",70,"OUTSIDE",NA,NA,NA,995161,167522,40.626487188,-73.960694776,"(40.626487188, -73.960694776)"
"47",107604100,"11/09/2015",06:14:00,NA,NA,"11/09/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. TRANSIT POLICE","MANHATTAN",14,"INSIDE",NA,NA,NA,986195,213562,40.752862899,-73.992981332,"(40.752862899, -73.992981332)"
"48",356491403,"11/08/2015",04:05:00,NA,NA,"11/08/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",67,"OUTSIDE",NA,NA,NA,1004498,176955,40.652362333,-73.927030122,"(40.652362333, -73.927030122)"
"49",284091093,"11/04/2015",01:12:00,NA,NA,"11/04/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",83,"INSIDE",NA,NA,NA,1007867,194479,40.700453401,-73.914827259,"(40.700453401, -73.914827259)"
"50",248892629,"11/01/2015",05:22:00,NA,NA,"11/01/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",77,"OUTSIDE",NA,NA,NA,998364,186452,40.67844139,-73.949116423,"(40.67844139, -73.949116423)"
"51",676408193,"10/31/2015",20:53:00,NA,NA,"10/31/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",105,"OUTSIDE",NA,NA,NA,1056001,180285,40.661234892,-73.741384856,"(40.661234892, -73.741384856)"
"52",788474276,"10/31/2015",20:53:00,NA,NA,"10/31/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",105,"OUTSIDE",NA,NA,NA,1056001,180285,40.661234892,-73.741384856,"(40.661234892, -73.741384856)"
"53",467640179,"10/29/2015",20:08:00,NA,NA,"10/29/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",46,"INSIDE",NA,NA,NA,1009853,247503,40.845984791,-73.907462791,"(40.845984791, -73.907462791)"
"54",634357728,"10/28/2015",20:07:00,NA,NA,"10/28/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",28,"OUTSIDE",NA,NA,NA,996792,230879,40.80038483,-73.954701109,"(40.80038483, -73.954701109)"
"55",505050319,"10/27/2015",21:24:00,NA,NA,"10/27/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",67,"INSIDE",NA,NA,NA,1006329,177267,40.653214329,-73.920430403,"(40.653214329, -73.920430403)"
"56",255006358,"10/26/2015",18:09:00,NA,NA,"10/26/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",88,"OUTSIDE",NA,NA,NA,992112,185590,40.676083154,-73.971657681,"(40.676083154, -73.971657681)"
"57",285791049,"10/26/2015",12:50:00,NA,NA,"10/26/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",40,"INSIDE",NA,NA,NA,1007252,239375,40.823682942,-73.916891628,"(40.823682942, -73.916891628)"
"58",445195145,"10/26/2015",05:00:00,NA,NA,"10/26/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",72,"INSIDE",NA,NA,NA,979294,172285,40.639565947,-74.017858834,"(40.639565947, -74.017858834)"
"59",975065889,"10/25/2015",10:19:00,NA,NA,"10/25/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",52,"INSIDE",NA,NA,NA,1011129,252656,40.860124446,-73.902830201,"(40.860124446, -73.902830201)"
"60",764575906,"10/22/2015",15:00:00,NA,NA,"10/22/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. HOUSING POLICE","BRONX",49,"OUTSIDE",NA,NA,NA,1022920,253072,40.861222468,-73.860201788,"(40.861222468, -73.860201788)"
"61",440635645,"10/20/2015",20:31:00,NA,NA,"10/20/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",25,"OUTSIDE",NA,NA,NA,1003855,229559,40.796748942,-73.929194181,"(40.796748942, -73.929194181)"
"62",594764495,"10/18/2015",10:14:00,NA,NA,"10/18/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",75,"INSIDE",NA,NA,NA,1017119,183909,40.671411663,-73.881511724,"(40.671411663, -73.881511724)"
"63",690042296,"10/17/2015",12:15:00,NA,NA,"10/17/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",103,"OUTSIDE",NA,NA,NA,1042041,193826,40.698503885,-73.791585417,"(40.698503885, -73.791585417)"
"64",666865450,"10/17/2015",04:35:00,NA,NA,"10/17/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",43,"OUTSIDE",NA,NA,NA,1022943,240733,40.827355465,-73.860189834,"(40.827355465, -73.860189834)"
"65",251390521,"10/17/2015",04:01:00,NA,NA,"10/17/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",103,"INSIDE",NA,NA,NA,1037509,195481,40.703074899,-73.807916367,"(40.703074899, -73.807916367)"
"66",828303898,"10/15/2015",13:49:00,NA,NA,"10/15/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",46,"INSIDE",NA,NA,NA,1012356,250621,40.854535162,-73.898402966,"(40.854535162, -73.898402966)"
"67",503295731,"10/14/2015",01:47:00,NA,NA,"10/14/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",70,"OUTSIDE",NA,NA,NA,994950,174604,40.64592603,-73.961443671,"(40.64592603, -73.961443671)"
"68",298877897,"10/11/2015",14:50:00,NA,NA,"10/11/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",109,"OUTSIDE",NA,NA,NA,1034105,211917,40.748207471,-73.820071514,"(40.748207471, -73.820071514)"
"69",924525630,"10/12/2015",04:03:00,NA,NA,"10/12/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",13,"OUTSIDE",NA,NA,NA,987112,208704,40.739528656,-73.989673657,"(40.739528656, -73.989673657)"
"70",289201246,"10/11/2015",22:36:00,NA,NA,"10/11/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",88,"OUTSIDE",NA,NA,NA,990255,189887,40.687878898,-73.978348633,"(40.687878898, -73.978348633)"
"71",852776334,"10/09/2015",04:20:00,NA,NA,"10/09/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",47,"OUTSIDE",NA,NA,NA,1032453,262402,40.886783497,-73.825671072,"(40.886783497, -73.825671072)"
"72",271642266,"10/08/2015",18:00:00,NA,NA,"10/08/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",67,"OUTSIDE",NA,NA,NA,1000054,173952,40.644128794,-73.943052786,"(40.644128794, -73.943052786)"
"73",684982920,"07/22/2010",12:00:00,NA,NA,"10/08/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",75,"OUTSIDE",NA,NA,NA,1017119,183909,40.671411663,-73.881511724,"(40.671411663, -73.881511724)"
"74",748678221,"10/06/2015",07:57:00,NA,NA,"10/06/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",90,"OUTSIDE",NA,NA,NA,1003379,196414,40.70577536,-73.931007628,"(40.70577536, -73.931007628)"
"75",163046544,"10/05/2015",01:22:00,NA,NA,"10/05/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",67,"OUTSIDE",NA,NA,NA,1007445,179433,40.659156671,-73.916400977,"(40.659156671, -73.916400977)"
"76",110579927,"10/04/2015",20:28:00,NA,NA,"10/04/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",106,"OUTSIDE",NA,NA,NA,1034171,187027,40.679890124,-73.820017883,"(40.679890124, -73.820017883)"
"77",230535411,"10/04/2015",07:34:00,NA,NA,"10/04/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",52,"OUTSIDE",NA,NA,NA,1012218,253976,40.863744063,-73.898887813,"(40.863744063, -73.898887813)"
"78",560545352,"10/04/2015",02:55:00,NA,NA,"10/04/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","STATEN ISLAND",120,"OUTSIDE",NA,NA,NA,960832,163500,40.615423403,-74.084350357,"(40.615423403, -74.084350357)"
"79",885619028,"10/04/2015",02:55:00,NA,NA,"10/04/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","STATEN ISLAND",120,"OUTSIDE",NA,NA,NA,960832,163500,40.615423403,-74.084350357,"(40.615423403, -74.084350357)"
"80",302629861,"10/03/2015",13:05:00,NA,NA,"10/03/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",66,"INSIDE",NA,NA,NA,987489,171960,40.638674687,-73.988330877,"(40.638674687, -73.988330877)"
"81",956741159,"09/30/2015",20:46:00,NA,NA,"09/30/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",45,"OUTSIDE",NA,NA,NA,1025713,244278,40.83707289,-73.850158943,"(40.83707289, -73.850158943)"
"82",669781422,"09/28/2015",15:50:00,NA,NA,"09/28/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",34,"INSIDE",NA,NA,NA,1004466,252899,40.86080918,-73.92691711,"(40.86080918, -73.92691711)"
"83",347456352,"09/28/2015",14:45:00,NA,NA,"09/28/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",52,"OUTSIDE",NA,NA,NA,1009018,252729,40.860330983,-73.910461479,"(40.860330983, -73.910461479)"
"84",587627030,"09/27/2015",16:41:00,NA,NA,"09/27/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. HOUSING POLICE","MANHATTAN",25,"OUTSIDE",NA,NA,NA,1002451,231382,40.801755583,-73.934260057,"(40.801755583, -73.934260057)"
"85",792781222,"09/26/2015",05:43:00,NA,NA,"09/26/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. HOUSING POLICE","MANHATTAN",5,"INSIDE",NA,NA,"SMITH",985237,197940,40.70998449,-73.996441344,"(40.70998449, -73.996441344)"
"86",576809545,"09/26/2015",02:00:00,NA,NA,"09/26/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",42,"OUTSIDE",NA,NA,NA,1010042,241269,40.828873725,-73.906803648,"(40.828873725, -73.906803648)"
